# timestamp userid sessionid requestid event transaction name
1426237421.330049 30 1 2 match_stop - -
1426237421.330921 49 1 2 match_stop - -
1426237421.332148 45 1 2 match_stop - -
1426237421.366874 62 1 2 match_stop - -
1426237421.379922 87 1 2 match_stop - -
1426237421.382807 89 1 2 match_stop - -
1426237421.412979 107 1 2 match_stop - -
1426237421.431136 130 1 2 match_stop - -
1426237421.433199 132 1 2 match_stop - -
1426237421.434094 135 1 2 match_stop - -
1426237421.435210 136 1 2 match_stop - -
1426237421.438139 143 1 2 match_stop - -
1426237421.439135 145 1 2 match_stop - -
1426237421.459929 152 1 2 match_stop - -
1426237421.465878 154 1 2 match_stop - -
1426237421.474886 173 1 2 match_stop - -
1426237421.510192 200 1 2 match_stop - -
1426237421.514776 208 1 2 match_stop - -
1426237421.517840 23 1 2 match_stop - -
1426237421.541804 226 1 2 match_stop - -
1426237421.542782 227 1 2 match_stop - -
1426237421.546732 252 1 2 match_stop - -
1426237421.564947 260 1 2 match_stop - -
1426237421.568252 263 1 2 match_stop - -
1426237421.570879 274 1 2 match_stop - -
1426237421.587692 283 1 2 match_stop - -
1426237421.589681 270 1 2 match_stop - -
1426237421.598876 297 1 2 match_stop - -
1426237421.666922 327 1 2 match_stop - -
1426237421.684690 373 1 2 match_stop - -
1426237421.686115 369 1 2 match_stop - -
1426237421.688069 371 1 2 match_stop - -
1426237421.688145 375 1 2 match_stop - -
1426237421.689717 383 1 2 match_stop - -
1426237421.695671 386 1 2 match_stop - -
1426237421.704926 393 1 2 match_stop - -
1426237421.713659 406 1 2 match_stop - -
1426237421.713901 405 1 2 match_stop - -
1426237421.752676 433 1 2 match_stop - -
1426237421.758711 447 1 2 match_stop - -
1426237421.759558 451 1 2 match_stop - -
1426237421.326941 20 1 2 match_stop - -
1426237421.332918 50 1 2 match_stop - -
1426237421.360922 63 1 2 match_stop - -
1426237421.361886 66 1 2 match_stop - -
1426237421.370823 85 1 2 match_stop - -
1426237421.419895 131 1 2 match_stop - -
1426237421.434038 134 1 2 match_stop - -
1426237421.435865 144 1 2 match_stop - -
1426237421.436016 142 1 2 match_stop - -
1426237421.440849 150 1 2 match_stop - -
1426237421.462788 160 1 2 match_stop - -
1426237421.479121 180 1 2 match_stop - -
1426237421.479346 179 1 2 match_stop - -
1426237421.514422 203 1 2 match_stop - -
1426237421.519225 216 1 2 match_stop - -
1426237421.543372 225 1 2 match_stop - -
1426237421.544271 228 1 2 match_stop - -
1426237421.545428 245 1 2 match_stop - -
1426237421.546299 250 1 2 match_stop - -
1426237421.564074 259 1 2 match_stop - -
1426237421.565796 262 1 2 match_stop - -
1426237421.568052 267 1 2 match_stop - -
1426237421.568890 269 1 2 match_stop - -
1426237421.618039 306 1 2 match_stop - -
1426237421.618131 305 1 2 match_stop - -
1426237421.619155 310 1 2 match_stop - -
1426237421.619276 309 1 2 match_stop - -
1426237421.620033 313 1 2 match_stop - -
1426237421.620138 311 1 2 match_stop - -
1426237421.621799 319 1 2 match_stop - -
1426237421.622962 320 1 2 match_stop - -
1426237421.623071 321 1 2 match_stop - -
1426237421.625034 120 1 2 match_stop - -
1426237421.639889 325 1 2 match_stop - -
1426237421.649113 329 1 2 match_stop - -
1426237421.650363 139 1 2 match_stop - -
1426237421.667669 343 1 2 match_stop - -
1426237421.672829 347 1 2 match_stop - -
1426237421.687044 372 1 2 match_stop - -
1426237421.688709 374 1 2 match_stop - -
1426237421.701656 184 1 2 match_stop - -
1426237421.724177 412 1 2 match_stop - -
1426237421.724829 413 1 2 match_stop - -
1426237421.726783 415 1 2 match_stop - -
1426237421.735589 425 1 2 match_stop - -
1426237421.759617 456 1 2 match_stop - -
1426237421.789669 487 1 2 match_stop - -
1426237421.794554 490 1 2 match_stop - -
1426237421.815599 298 1 2 match_stop - -
1426237421.827630 523 1 2 match_stop - -
1426237421.847509 528 1 2 match_stop - -
1426237421.851608 534 1 2 match_stop - -
1426237421.852614 554 1 2 match_stop - -
1426237421.853561 552 1 2 match_stop - -
1426237421.855517 558 1 2 match_stop - -
1426237421.855648 557 1 2 match_stop - -
1426237421.876776 573 1 2 match_stop - -
1426237421.882527 575 1 2 match_stop - -
1426237421.884480 580 1 2 match_stop - -
1426237421.896620 570 1 2 match_stop - -
1426237421.899589 577 1 2 match_stop - -
1426237421.902711 584 1 2 match_stop - -
1426237421.922499 614 1 2 match_stop - -
1426237421.944493 650 1 2 match_stop - -
1426237421.953677 654 1 2 match_stop - -
1426237421.953776 637 1 2 match_stop - -
1426237421.962559 670 1 2 match_stop - -
